"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Jan 31 03:11:48 GMT 2024","Wed Jan 31 03:11:48 GMT 2024","0","src.tests","test_k8s_api","","","","test_get_all_pods",""
"passed","Wed Jan 31 03:11:48 GMT 2024","Wed Jan 31 03:11:52 GMT 2024","3838","src.tests","test_k8s_api","","","","test_get_all_unit_pods",""
"skipped","Wed Jan 31 03:11:52 GMT 2024","Wed Jan 31 03:11:52 GMT 2024","0","src.tests","test_k8s_api","","","","test_get_all_controller_pods",""
