"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Mar 20 06:37:15 GMT 2024","Wed Mar 20 06:37:15 GMT 2024","0","src.tests.upgrade","Restore MO Cluster and Upgrade","UpgradeMOTestSuite","","","Upgrade MO Cluster","This test attempts to upgrade MO cluster restored."
"skipped","Wed Mar 20 06:37:15 GMT 2024","Wed Mar 20 06:37:15 GMT 2024","0","src.tests.upgrade","Restore MO Cluster and Upgrade","UpgradeMOTestSuite","","","Upgrade Cluster","This test attempts to upgrade cluster restored."
"skipped","Wed Mar 20 06:37:15 GMT 2024","Wed Mar 20 06:37:15 GMT 2024","1","src.tests.upgrade","Restore MO Cluster and Upgrade","UpgradeMOTestSuite","","","Restore MO data","This test attempts to restore MO data."
"skipped","Wed Mar 20 06:37:15 GMT 2024","Wed Mar 20 06:37:15 GMT 2024","0","src.tests.upgrade","Restore MO Cluster and Upgrade","UpgradeMOTestSuite","","","Restore Cluster Via COS","This test attempts to restore cluster via COS."
"failed","Wed Mar 20 06:37:11 GMT 2024","Wed Mar 20 06:37:12 GMT 2024","1363","src.tests.upgrade","Restore MO Cluster and Upgrade","UpgradeMOTestSuite","","","Upgrade New MO Cluster","This test attempts to upgrade cluster newly created."
"passed","Wed Mar 20 06:37:11 GMT 2024","Wed Mar 20 06:37:11 GMT 2024","0","src.tests.upgrade","Restore MO Cluster and Upgrade","UpgradeMOTestSuite","","","Create New MO Cluster","This test attempts to create new cluster if S3 bucket/filePath is not specified."
"skipped","Wed Mar 20 06:37:15 GMT 2024","Wed Mar 20 06:37:15 GMT 2024","0","src.tests.upgrade","Restore MO Cluster and Upgrade","UpgradeMOTestSuite","","","Restore MO Cluster Via Operator","This test attempts to restore MO cluster via operator."
