"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 12 08:00:13 GMT 2024","Tue Mar 12 08:00:14 GMT 2024","657","src.tests.upgrade","Backup MO Cluster","BackupMOTestSuite","","","Create MO backup account","This test attempts to create cluster for backup."
"passed","Tue Mar 12 08:00:14 GMT 2024","Tue Mar 12 08:06:16 GMT 2024","362138","src.tests.upgrade","Backup MO Cluster","BackupMOTestSuite","","","Backup MO data","This test attempts to make backups for MO data."
