"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Mar 19 03:39:08 GMT 2024","Tue Mar 19 03:39:08 GMT 2024","0","src.tests.upgrade","Restore MO Cluster and Upgrade","UpgradeMOTestSuite","","","Upgrade MO Cluster","This test attempts to upgrade MO cluster restored."
"failed","Tue Mar 19 03:39:06 GMT 2024","Tue Mar 19 03:39:08 GMT 2024","2040","src.tests.upgrade","Restore MO Cluster and Upgrade","UpgradeMOTestSuite","","","Upgrade Cluster","This test attempts to upgrade cluster restored."
"passed","Tue Mar 19 03:19:15 GMT 2024","Tue Mar 19 03:19:15 GMT 2024","0","src.tests.upgrade","Restore MO Cluster and Upgrade","UpgradeMOTestSuite","","","Restore MO data","This test attempts to restore MO data."
"passed","Tue Mar 19 03:19:15 GMT 2024","Tue Mar 19 03:39:06 GMT 2024","1190861","src.tests.upgrade","Restore MO Cluster and Upgrade","UpgradeMOTestSuite","","","Restore Cluster Via COS","This test attempts to restore cluster via COS."
"skipped","Tue Mar 19 03:19:13 GMT 2024","Tue Mar 19 03:19:13 GMT 2024","1","src.tests.upgrade","Restore MO Cluster and Upgrade","UpgradeMOTestSuite","","","Create New MO Cluster","This test attempts to create new cluster if S3 bucket/filePath is not specified."
"skipped","Tue Mar 19 03:39:06 GMT 2024","Tue Mar 19 03:39:06 GMT 2024","0","src.tests.upgrade","Restore MO Cluster and Upgrade","UpgradeMOTestSuite","","","Restore MO Cluster Via Operator","This test attempts to restore MO cluster via operator."
"skipped","Tue Mar 19 03:19:13 GMT 2024","Tue Mar 19 03:19:13 GMT 2024","0","src.tests.upgrade","Restore MO Cluster and Upgrade","UpgradeMOTestSuite","","","Upgrade New MO Cluster","This test attempts to upgrade cluster newly created."
