"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Mar 18 13:32:17 GMT 2024","Mon Mar 18 13:32:17 GMT 2024","0","src.tests.upgrade","Restore MO Cluster and Upgrade","UpgradeMOTestSuite","","","Restore Cluster Via COS","This test attempts to restore cluster via COS."
"broken","Mon Mar 18 13:32:17 GMT 2024","Mon Mar 18 13:32:17 GMT 2024","677","src.tests.upgrade","Restore MO Cluster and Upgrade","UpgradeMOTestSuite","","","Restore MO data","This test attempts to restore MO data."
"skipped","Mon Mar 18 13:32:15 GMT 2024","Mon Mar 18 13:32:15 GMT 2024","0","src.tests.upgrade","Restore MO Cluster and Upgrade","UpgradeMOTestSuite","","","Upgrade New MO Cluster","This test attempts to upgrade cluster newly created."
"skipped","Mon Mar 18 13:32:17 GMT 2024","Mon Mar 18 13:32:17 GMT 2024","0","src.tests.upgrade","Restore MO Cluster and Upgrade","UpgradeMOTestSuite","","","Restore MO Cluster Via Operator","This test attempts to restore MO cluster via operator."
"skipped","Mon Mar 18 13:32:17 GMT 2024","Mon Mar 18 13:32:17 GMT 2024","0","src.tests.upgrade","Restore MO Cluster and Upgrade","UpgradeMOTestSuite","","","Upgrade Cluster","This test attempts to upgrade cluster restored."
"skipped","Mon Mar 18 13:32:17 GMT 2024","Mon Mar 18 13:32:17 GMT 2024","0","src.tests.upgrade","Restore MO Cluster and Upgrade","UpgradeMOTestSuite","","","Upgrade MO Cluster","This test attempts to upgrade MO cluster restored."
"skipped","Mon Mar 18 13:32:15 GMT 2024","Mon Mar 18 13:32:15 GMT 2024","1","src.tests.upgrade","Restore MO Cluster and Upgrade","UpgradeMOTestSuite","","","Create New MO Cluster","This test attempts to create new cluster if S3 bucket/filePath is not specified."
