"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 12 15:20:40 GMT 2024","Tue Mar 12 15:51:00 GMT 2024","1819646","src.tests.upgrade","Restore MO Cluster and Upgrade","UpgradeMOTestSuite","","","Restore Cluster Via COS","This test attempts to restore cluster via COS."
"skipped","Tue Mar 12 14:11:19 GMT 2024","Tue Mar 12 14:11:19 GMT 2024","0","src.tests.upgrade","Restore MO Cluster and Upgrade","UpgradeMOTestSuite","","","Create New MO Cluster","This test attempts to create new cluster if S3 bucket/filePath is not specified."
"passed","Tue Mar 12 15:51:00 GMT 2024","Tue Mar 12 15:51:01 GMT 2024","1006","src.tests.upgrade","Restore MO Cluster and Upgrade","UpgradeMOTestSuite","","","Upgrade Cluster","This test attempts to upgrade cluster restored."
"skipped","Tue Mar 12 14:11:19 GMT 2024","Tue Mar 12 14:11:19 GMT 2024","0","src.tests.upgrade","Restore MO Cluster and Upgrade","UpgradeMOTestSuite","","","Upgrade New MO Cluster","This test attempts to upgrade cluster newly created."
"skipped","Tue Mar 12 15:51:01 GMT 2024","Tue Mar 12 15:51:01 GMT 2024","0","src.tests.upgrade","Restore MO Cluster and Upgrade","UpgradeMOTestSuite","","","Upgrade MO Cluster","This test attempts to upgrade MO cluster restored."
"passed","Tue Mar 12 14:11:19 GMT 2024","Tue Mar 12 15:20:40 GMT 2024","4160961","src.tests.upgrade","Restore MO Cluster and Upgrade","UpgradeMOTestSuite","","","Restore MO data","This test attempts to restore MO data."
"skipped","Tue Mar 12 15:51:00 GMT 2024","Tue Mar 12 15:51:00 GMT 2024","0","src.tests.upgrade","Restore MO Cluster and Upgrade","UpgradeMOTestSuite","","","Restore MO Cluster Via Operator","This test attempts to restore MO cluster via operator."
