"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Mar 12 11:06:40 GMT 2024","Tue Mar 12 11:06:40 GMT 2024","0","src.tests.upgrade","Restore MO Cluster and Upgrade","UpgradeMOTestSuite","","","Create New MO Cluster","This test attempts to create new cluster if S3 bucket/filePath is not specified."
"skipped","Tue Mar 12 12:37:17 GMT 2024","Tue Mar 12 12:37:17 GMT 2024","0","src.tests.upgrade","Restore MO Cluster and Upgrade","UpgradeMOTestSuite","","","Restore MO Cluster Via Operator","This test attempts to restore MO cluster via operator."
"skipped","Tue Mar 12 11:06:40 GMT 2024","Tue Mar 12 11:06:40 GMT 2024","0","src.tests.upgrade","Restore MO Cluster and Upgrade","UpgradeMOTestSuite","","","Upgrade New MO Cluster","This test attempts to upgrade cluster newly created."
"passed","Tue Mar 12 12:19:03 GMT 2024","Tue Mar 12 12:37:17 GMT 2024","1093469","src.tests.upgrade","Restore MO Cluster and Upgrade","UpgradeMOTestSuite","","","Restore Cluster Via COS","This test attempts to restore cluster via COS."
"passed","Tue Mar 12 11:06:41 GMT 2024","Tue Mar 12 12:19:03 GMT 2024","4342593","src.tests.upgrade","Restore MO Cluster and Upgrade","UpgradeMOTestSuite","","","Restore MO data","This test attempts to restore MO data."
"skipped","Tue Mar 12 12:37:18 GMT 2024","Tue Mar 12 12:37:18 GMT 2024","0","src.tests.upgrade","Restore MO Cluster and Upgrade","UpgradeMOTestSuite","","","Upgrade MO Cluster","This test attempts to upgrade MO cluster restored."
"failed","Tue Mar 12 12:37:17 GMT 2024","Tue Mar 12 12:37:18 GMT 2024","838","src.tests.upgrade","Restore MO Cluster and Upgrade","UpgradeMOTestSuite","","","Upgrade Cluster","This test attempts to upgrade cluster restored."
